,country,year,CH4,CO2,mining,GHG,N20,NO,Renewable,SO2,copdDalys,prev_CH4,prev_CO2,prev_mining,prev_GHG,prev_N20,prev_NO,prev_Renewable,prev_SO2,prev_copdDalys
209,Denmark,1994_to_1995,2.89999999999998,-3043.80000000001,-0.01,-2952.75999999999,-0.23,-18.21,0.47,-5.81999999999999,2222.97779784619,-4.78999999999996,4016.97000000001,-0.0499999999999999,3880.61,-0.280000000000001,1.53999999999996,-0.25,2.34,2051.34474600025
210,Denmark,1995_to_1996,4.35000000000002,13331.24,0.36,13191.01,-1.17,34.69,-0.96,30.52,1307.17854180426,2.89999999999998,-3043.80000000001,-0.01,-2952.75999999999,-0.23,-18.21,0.47,-5.81999999999999,2222.97779784619
211,Denmark,1996_to_1997,-4.78000000000003,-9383.92999999999,0.14,-9458.03,0.110000000000003,-47.16,2.11,-71.9,1686.87942947001,4.35000000000002,13331.24,0.36,13191.01,-1.17,34.69,-0.96,30.52,1307.17854180426
212,Denmark,1997_to_1998,2.10000000000002,-4207.19,-0.34,-3978.06,0.16,-20.34,2.52,-23.69,1169.60899966503,-4.78000000000003,-9383.92999999999,0.14,-9458.03,0.110000000000003,-47.16,2.11,-71.9,1686.87942947001
213,Denmark,1998_to_1999,-4.42000000000002,-2553.27,0.48,-2440.25,0.229999999999997,-18.8,0.94,-20.99,2119.59742129252,2.10000000000002,-4207.19,-0.34,-3978.06,0.16,-20.34,2.52,-23.69,1169.60899966503
214,Denmark,1999_to_2000,-3.00999999999999,-4232.93,1.48,-4273.22,-0.199999999999999,-11.21,4,-26.94,-934.917687418725,-4.42000000000002,-2553.27,0.48,-2440.25,0.229999999999997,-18.8,0.94,-20.99,2119.59742129252
215,Denmark,2000_to_2001,9.62,1712.99,-0.48,1734.83,-0.66,-3.20999999999998,-0.430000000000001,-2.72,277.270562066522,-3.00999999999999,-4232.93,1.48,-4273.22,-0.199999999999999,-11.21,4,-26.94,-934.917687418725
216,Denmark,2001_to_2002,-2.47000000000003,-427.139999999999,-0.0800000000000001,-533.960000000006,-0.219999999999999,-3.20000000000002,1,-1.5,-362.286282250803,9.62,1712.99,-0.48,1734.83,-0.66,-3.20999999999998,-0.430000000000001,-2.72,277.270562066522
217,Denmark,2002_to_2003,0.990000000000009,5160.39,-0.0699999999999998,5085.89,-0.41,9.55000000000001,-0.399999999999999,6.98,-1313.75624859944,-2.47000000000003,-427.139999999999,-0.0800000000000001,-533.960000000006,-0.219999999999999,-3.20000000000002,1,-1.5,-362.286282250803
218,Denmark,2003_to_2004,-7.17000000000002,-5556.12,0.54,-6112.42,-1.45,-16.75,4.25,-6.54,-1913.78302735204,0.990000000000009,5160.39,-0.0699999999999998,5085.89,-0.41,9.55000000000001,-0.399999999999999,6.98,-1313.75624859944
219,Denmark,2004_to_2005,-9.59999999999997,-3567.81,0.99,-4406.41,-2.14,-8.21000000000001,1.94,-2.46,-1022.55191002904,-7.17000000000002,-5556.12,0.54,-6112.42,-1.45,-16.75,4.25,-6.54,-1913.78302735204
220,Denmark,2005_to_2006,-4.17000000000002,7926.69,0.24,7727,-0.449999999999999,-0.840000000000003,-4.87,4.06,398.047440031834,-9.59999999999997,-3567.81,0.99,-4406.41,-2.14,-8.21000000000001,1.94,-2.46,-1022.55191002904
221,Denmark,2006_to_2007,-0.980000000000018,-4756.65,-0.169999999999999,-4571.51999999999,0.599999999999998,-13.88,4.87,-3.06,770.672887833935,-4.17000000000002,7926.69,0.24,7727,-0.449999999999999,-0.840000000000003,-4.87,4.06,398.047440031834
222,Denmark,2007_to_2008,-4.64999999999998,-3461.67,0.25,-3588.01000000001,-0.0199999999999996,-16.13,0.68,-6.24,252.007315610681,-0.980000000000018,-4756.65,-0.169999999999999,-4571.51999999999,0.599999999999998,-13.88,4.87,-3.06,770.672887833935
223,Denmark,2008_to_2009,-5.22000000000003,-2455.68,-1.43,-2754.02,-0.669999999999998,-19.43,-0.460000000000001,-5.87,1254.49653281234,-4.64999999999998,-3461.67,0.25,-3588.01000000001,-0.0199999999999996,-16.13,0.68,-6.24,252.007315610681
224,Denmark,2009_to_2010,2.55000000000001,493.619999999995,0.31,299.979999999996,-0.330000000000002,-4.69999999999999,1.62,0.0300000000000011,213.210040154954,-5.22000000000003,-2455.68,-1.43,-2754.02,-0.669999999999998,-19.43,-0.460000000000001,-5.87,1254.49653281234
225,Denmark,2010_to_2011,-6.37,-5026.03,0.44,-5233.27,-0.0199999999999996,-9.25,7.68,-1.22,5.89955753924733,2.55000000000001,493.619999999995,0.31,299.979999999996,-0.330000000000002,-4.69999999999999,1.62,0.0300000000000011,213.210040154954
226,Denmark,2011_to_2012,-4.30000000000001,-4434.04,-0.0800000000000001,-4583.78,-0.300000000000001,-11.15,6.01,-1.7,558.102788029762,-6.37,-5026.03,0.44,-5233.27,-0.0199999999999996,-9.25,7.68,-1.22,5.89955753924733
227,Denmark,2012_to_2013,-3.69,1861.09,-0.62,1723.88,-0.0199999999999996,-4.91,-0.310000000000002,0.120000000000001,725.862704997329,-4.30000000000001,-4434.04,-0.0800000000000001,-4583.78,-0.300000000000001,-11.15,6.01,-1.7,558.102788029762
